production_rank,production_status,production_rule_tier,production_rule_diagnostic,rule_type,metric,direction,threshold,rule,validation_windows,validation_positive_windows,validation_negative_windows,validation_positive_window_rate_pct,source_split_ids,first_validation_start_day,last_validation_end_day,validation_rows_total,validation_graded_bets,validation_wins,validation_losses,validation_pushes,validation_voids,validation_stake_units,validation_profit_units,validation_roi_pct,validation_hit_rate_decided_pct,current_rows_total,current_match_rate_pct,current_actionable_rows,current_actionable_coverage_pct,current_non_actionable_rows,current_graded_bets,current_wins,current_losses,current_pushes,current_voids,current_stake_units,current_profit_units,current_roi_pct,current_hit_rate_decided_pct,promotion_reason
1,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,odds_num,<=,2.57,odds_num <= 2.57,6,4,2,66.6667,"10,11,12,13,14,15",2026-05-03,2026-05-08,156,136,96,40,0,0,136.0,9.03,6.6397,70.5882,268,41.6149,224,89.9598,44,224,152,72,0,0,224.0,10.36,4.625,67.8571,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
2,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,primary_model_prob,>=,0.6901,primary_model_prob >= 0.6901,5,4,1,80.0,"11,12,13,14,15",2026-05-04,2026-05-08,73,64,47,17,0,0,64.0,8.97,14.0156,73.4375,571,88.6646,191,76.7068,380,191,132,59,0,0,191.0,9.79,5.1257,69.1099,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
3,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,vsigma_pre_score,>=,69.39,vsigma_pre_score >= 69.39,5,4,1,80.0,"11,12,13,14,15",2026-05-04,2026-05-08,73,65,43,22,0,0,65.0,7.44,11.4462,66.1538,522,81.0559,203,81.5261,319,203,128,75,0,0,203.0,7.87,3.8768,63.0542,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
4,PROMOTED_PRODUCTION_READY,STANDARD_EVIDENCE,Rule has positive promoted-rule evidence but does not meet premium evidence requirements.,NUMERIC_THRESHOLD,odds_num,<=,1.62,odds_num <= 1.62,6,4,2,66.6667,"10,11,12,13,14,15",2026-05-03,2026-05-08,110,96,74,22,0,0,96.0,7.05,7.3438,77.0833,182,28.2609,148,59.4378,34,148,111,37,0,0,148.0,8.15,5.5068,75.0,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
5,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,selection_score,>=,75.82,selection_score >= 75.82,5,3,2,60.0,"11,12,13,14,15",2026-05-04,2026-05-08,66,59,40,19,0,0,59.0,6.83,11.5763,67.7966,491,76.2422,190,76.3052,301,190,122,68,0,0,190.0,9.77,5.1421,64.2105,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
6,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,selection_score,>=,76.22,selection_score >= 76.22,5,3,2,60.0,"11,12,13,14,15",2026-05-04,2026-05-08,66,59,40,19,0,0,59.0,6.83,11.5763,67.7966,484,75.1553,189,75.9036,295,189,121,68,0,0,189.0,9.43,4.9894,64.0212,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
7,PROMOTED_PRODUCTION_READY,GENERIC_BROAD,Rule matches too much current production surface to approve candidates by itself.,NUMERIC_THRESHOLD,vsigma_pre_score,>=,70.62,vsigma_pre_score >= 70.62,5,3,2,60.0,"11,12,13,14,15",2026-05-04,2026-05-08,66,59,40,19,0,0,59.0,6.83,11.5763,67.7966,486,75.4658,187,75.1004,299,187,119,68,0,0,187.0,8.83,4.7219,63.6364,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
8,PROMOTED_PRODUCTION_READY,PREMIUM_EVIDENCE,"Rule has strong repeated validation, positive current ROI, and acceptable production selectivity.",NUMERIC_THRESHOLD,primary_model_prob,>=,0.835,primary_model_prob >= 0.835,5,4,1,80.0,"10,12,13,14,15",2026-05-03,2026-05-08,36,29,27,2,0,0,29.0,6.71,23.1379,93.1034,206,31.9876,49,19.6787,157,49,41,8,0,0,49.0,7.22,14.7347,83.6735,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
9,PROMOTED_PRODUCTION_READY,PREMIUM_EVIDENCE,"Rule has strong repeated validation, positive current ROI, and acceptable production selectivity.",NUMERIC_THRESHOLD,primary_model_prob,>=,0.8351,primary_model_prob >= 0.8351,5,4,1,80.0,"10,12,13,14,15",2026-05-03,2026-05-08,36,29,27,2,0,0,29.0,6.71,23.1379,93.1034,203,31.5217,49,19.6787,154,49,41,8,0,0,49.0,7.22,14.7347,83.6735,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
10,PROMOTED_PRODUCTION_READY,PREMIUM_EVIDENCE,"Rule has strong repeated validation, positive current ROI, and acceptable production selectivity.",NUMERIC_THRESHOLD,primary_model_prob,>=,0.8353,primary_model_prob >= 0.8353,5,4,1,80.0,"10,12,13,14,15",2026-05-03,2026-05-08,36,29,27,2,0,0,29.0,6.71,23.1379,93.1034,201,31.2112,48,19.2771,153,48,40,8,0,0,48.0,6.88,14.3333,83.3333,validation_windows>=1; validation_graded_bets>=1; validation_profit_units>=0; validation_roi_pct>=0
