target_date,generated_at,board_rank,fixture_id,home_team,away_team,final_decision,board_bucket,primary_market,secondary_market,stake_band,execution_permission,portfolio_status,context_level,forecast_confidence,forecast_warning,translation_score,kill_switch,stat_profile,key_stat_forecast,prelock_trigger,live_trigger,cancel_trigger,operator_note,source_guard,auto_apply,production_change
2026-05-29,2026-05-29T14:31:18+01:00,1,1545797,Monza,Catanzaro,LIVE_ONLY,LIVE_CANDIDATE,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,SYMBOLIC_ONLY,LIVE_ONLY,LIVE_ONLY_OR_SYMBOLIC,L7_SOFT_DOWN,MEDIUM,LINEUPS_INACTIVE,17,NONE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | LOW_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.30-3.83 | shots 21-33 | SoT 8-14 | corners 7-13 | cards 1-4,price remains above minimum; market not over-compressed; lineups confirmed,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",bad or incomplete lineups,No prematch serious stake; require live tempo and chance confirmation.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T14:31:18+01:00,2,1494683,Valerenga,Kristiansund BK,STAT_WATCH_ONLY,WATCHLIST,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_OR_SYMBOLIC,STAT_WATCH_ONLY,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE,48,NO_PORTFOLIO_CONTEXT,HIGH_TEMPO | MEDIUM_SHOT_VOLUME | HIGH_CORNER_VOLUME | HIGH_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.15-3.60 | shots 23-34 | SoT 7-13 | corners 9-15 | cards 3-8,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",no portfolio/context confirmation; bad or incomplete lineups,Statistical signal only; blocked from execution without portfolio/context confirmation.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T14:31:18+01:00,3,1494678,Fredrikstad,Start,NO_BET_OR_WATCH,WEAK_WATCH,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE,23,NO_PORTFOLIO_CONTEXT,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.35-3.90 | shots 23-34 | SoT 7-13 | corners 7-13 | cards 2-5,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",default no bet; no portfolio/context confirmation; bad or incomplete lineups,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T14:31:18+01:00,4,1494191,Orgryte IS,IF Elfsborg,NO_BET_OR_WATCH,WEAK_WATCH,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE,18,NO_PORTFOLIO_CONTEXT,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,goals 2.10-3.52 | shots 20-31 | SoT 6-12 | corners 7-12 | cards 2-6,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",default no bet; no portfolio/context confirmation; bad or incomplete lineups,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T14:31:18+01:00,5,1494676,Aalesund,Ham-Kam,NO_BET_OR_WATCH,WEAK_WATCH,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,16,NO_PORTFOLIO_CONTEXT,HIGH_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,goals 2.30-4.07 | shots 22-36 | SoT 6-12 | corners 8-14 | cards 2-5,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",default no bet; no portfolio/context confirmation; bad or incomplete lineups,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T14:31:18+01:00,6,1535232,Tigre,Alianza Atletico,NO_BET_OR_WATCH,WEAK_WATCH,UNDER_3_5_REVIEW,NO_GOALS_AGGRESSION,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE,2,NO_PORTFOLIO_CONTEXT,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,goals 1.51-2.62 | shots 19-30 | SoT 4-9 | corners 6-11 | cards 2-6,none,"live control: low SoT, low big chances, stable defensive structure",default no bet; no portfolio/context confirmation; bad or incomplete lineups,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T14:31:18+01:00,7,1494682,Rosenborg,Bodo/Glimt,NO_BET_OR_WATCH,WEAK_WATCH,CORNERS_OVER_8_5_REVIEW,CORNERS_OVER_9_5_AGGRESSIVE,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,-1,NEGATIVE_TRANSLATION_SCORE,HIGH_TEMPO | MEDIUM_SHOT_VOLUME | HIGH_CORNER_VOLUME | LOW_CARD_RISK | BALANCED_THREAT,goals 1.92-3.45 | shots 22-36 | SoT 7-14 | corners 10-18 | cards 1-4,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",default no bet; bad or incomplete lineups,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T14:31:18+01:00,8,1535318,Cruzeiro,Barcelona SC,NO_BET_OR_WATCH,WEAK_WATCH,CARDS_OVER_3_5_REVIEW,CARDS_OVER_4_5_AGGRESSIVE,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE,-2,NEGATIVE_TRANSLATION_SCORE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | LOW_CORNER_VOLUME | HIGH_CARD_RISK | BALANCED_THREAT,goals 1.81-3.07 | shots 17-27 | SoT 5-11 | corners 5-9 | cards 4-8,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",default no bet; bad or incomplete lineups,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T14:31:18+01:00,9,1535314,Boca Juniors,U. Catolica,NO_BET_OR_WATCH,WEAK_WATCH,CARDS_OVER_3_5_REVIEW,CARDS_OVER_4_5_AGGRESSIVE,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,REVIEW_ONLY,L6_REVIEW,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,-4,NEGATIVE_TRANSLATION_SCORE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | LOW_CORNER_VOLUME | HIGH_CARD_RISK | BALANCED_THREAT,goals 1.87-3.38 | shots 16-27 | SoT 5-11 | corners 4-9 | cards 4-10,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",default no bet; bad or incomplete lineups,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T14:31:18+01:00,10,1545409,Nice,Saint Etienne,NO_BET_OR_WATCH,WEAK_WATCH,UNDER_3_5_REVIEW,NO_GOALS_AGGRESSION,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,NO_PORTFOLIO_CONTEXT,,MEDIUM,LINEUPS_INACTIVE; AVAILABILITY_RISK,-6,NEGATIVE_TRANSLATION_SCORE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,goals 1.71-2.92 | shots 19-29 | SoT 5-10 | corners 7-12 | cards 2-5,none,"live control: low SoT, low big chances, stable defensive structure",default no bet; bad or incomplete lineups; new availability downgrade,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T14:31:18+01:00,11,1494677,Brann,Sarpsborg 08 FF,NO_BET_OR_WATCH,WEAK_WATCH,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_OR_SYMBOLIC,NO_BET_OR_WATCH,NO_PORTFOLIO_CONTEXT,,LOW,LINEUPS_INACTIVE; AVAILABILITY_RISK; PARTIAL_RECENT_STATS,-20,LOW_FORECAST_CONFIDENCE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,goals 2.16-3.84 | shots 19-31 | SoT 6-12 | corners 7-14 | cards 2-6,none,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",default no bet; low forecast confidence; bad or incomplete lineups; new availability downgrade,No stake; watch only if live data dramatically changes context.,DATED_INPUT_ONLY,NO,NO
