target_date,file_name,path,pipeline_mode,candidate_version,status,detail,rows,snapshot_path
2026-05-31,vsigma_today_competition_shortlist.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_competition_shortlist.csv,PRE,OFFICIAL_BASELINE,ERROR_MISSING_REQUIRED_FILE,required output file is missing,0,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_competition_shortlist.csv
2026-05-31,vsigma_today_competition_top.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_competition_top.csv,PRE,OFFICIAL_BASELINE,ERROR_MISSING_REQUIRED_FILE,required output file is missing,0,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_competition_top.csv
2026-05-31,vsigma_today_candidate_v2_competition_top.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v2_competition_top.csv,PRE,CANDIDATE_V2,ERROR_MISSING_REQUIRED_FILE,required output file is missing,0,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_candidate_v2_competition_top.csv
2026-05-31,vsigma_today_candidate_v2_match_script_forecasts.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v2_match_script_forecasts.csv,PRE,FORECAST_CANDIDATE_V2,PASS,output is fresh for requested target date,2,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_candidate_v2_match_script_forecasts.csv
2026-05-31,vsigma_today_candidate_v4_match_script_forecasts.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v4_match_script_forecasts.csv,PRE,FORECAST_CANDIDATE_V4,PASS,output is fresh for requested target date,2,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_candidate_v4_match_script_forecasts.csv
2026-05-31,vsigma_today_prelock_competition_top.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_prelock_competition_top.csv,PRELOCK,OFFICIAL_BASELINE_PRELOCK,EMPTY_OK_NO_BET,empty output with headers is valid for a no-bet day,0,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_prelock_competition_top.csv
2026-05-31,vsigma_today_prelock_comparison.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_prelock_comparison.csv,PRELOCK,PRELOCK_COMPARISON,EMPTY_OK_NO_BET,empty output with headers is valid for a no-bet day,0,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_prelock_comparison.csv
2026-05-31,vsigma_execution_shortlist_results_ledger.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_execution_shortlist_results_ledger.csv,POST,OFFICIAL_RESULTS,PASS,output is fresh for requested target date,4,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_execution_shortlist_results_ledger.csv
2026-05-31,vsigma_execution_shortlist_results_summary.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_execution_shortlist_results_summary.csv,POST,OFFICIAL_RESULTS,PASS,output is fresh for requested target date,144,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_execution_shortlist_results_summary.csv
2026-05-31,vsigma_today_candidate_v4_results_ledger.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v4_results_ledger.csv,POST,CANDIDATE_V4_RESULTS,EMPTY_OK_NO_BET,empty output with headers is valid for a no-bet day,0,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_candidate_v4_results_ledger.csv
2026-05-31,vsigma_today_candidate_v4_results_summary.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v4_results_summary.csv,POST,CANDIDATE_V4_RESULTS,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_candidate_v4_results_summary.csv
2026-05-31,vsigma_today_candidate_v5_results_ledger.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v5_results_ledger.csv,POST,CANDIDATE_V5_RESULTS,EMPTY_OK_NO_BET,empty output with headers is valid for a no-bet day,0,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_candidate_v5_results_ledger.csv
2026-05-31,vsigma_today_candidate_v5_results_summary.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v5_results_summary.csv,POST,CANDIDATE_V5_RESULTS,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_candidate_v5_results_summary.csv
2026-05-31,vsigma_today_candidate_v6_results_ledger.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v6_results_ledger.csv,POST,CANDIDATE_V6_RESULTS,EMPTY_OK_NO_BET,empty output with headers is valid for a no-bet day,0,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_candidate_v6_results_ledger.csv
2026-05-31,vsigma_today_candidate_v6_results_summary.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v6_results_summary.csv,POST,CANDIDATE_V6_RESULTS,PASS,output is fresh for requested target date,1,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_candidate_v6_results_summary.csv
2026-05-31,vsigma_today_candidate_v7_results_ledger.csv,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v7_results_ledger.csv,POST,CANDIDATE_V7_RESULTS,EMPTY_OK_NO_BET,empty output with headers is valid for a no-bet day,0,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-31/vsigma_today_candidate_v7_results_ledger.csv
