target_date,generated_at,fixture_id,home_team,away_team,api_readiness_gate,coverage_score,original_final_decision,final_decision,original_execution_permission,execution_permission,gate_action,gate_reason,missing_blocks,auto_apply,production_change
2026-05-31,2026-05-31T15:41:32+01:00,1392217,Cordoba,Huesca,EARLY_WATCH_MORE_DATA_REQUIRED,73.0,LIVE_ONLY,LIVE_ONLY,LIVE_ONLY,NO_PREMATCH,EARLY_WATCH_ONLY,Early-day data/probable XI support is not strong enough.,lineup_coverage=PROBABLE_LOW; injuries_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1492282,RB Bragantino,Internacional,EARLY_CANDIDATE_PRELOCK_REQUIRED,95.0,LIVE_ONLY,LIVE_ONLY,LIVE_ONLY,PRELOCK_REQUIRED,EARLY_PRELOCK_REQUIRED,Lineups are not due yet; early candidate may be planned but not locked.,lineup_coverage=NOT_DUE_YET,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392220,Almeria,Valladolid,EARLY_WATCH_MORE_DATA_REQUIRED,73.0,LIVE_ONLY,LIVE_ONLY,LIVE_ONLY,NO_PREMATCH,EARLY_WATCH_ONLY,Early-day data/probable XI support is not strong enough.,lineup_coverage=PROBABLE_LOW; injuries_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1492289,Vasco DA Gama,Atletico-MG,EARLY_CANDIDATE_PRELOCK_REQUIRED,95.0,LIVE_ONLY,LIVE_ONLY,LIVE_ONLY,PRELOCK_REQUIRED,EARLY_PRELOCK_REQUIRED,Lineups are not due yet; early candidate may be planned but not locked.,lineup_coverage=NOT_DUE_YET,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392226,Leganes,Mirandes,EARLY_WATCH_MORE_DATA_REQUIRED,80.0,STAT_WATCH_ONLY,STAT_WATCH_ONLY,STAT_WATCH_ONLY,NO_PREMATCH,EARLY_WATCH_ONLY,Early-day data/probable XI support is not strong enough.,lineup_coverage=NOT_DUE_YET; injuries_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392216,Zaragoza,Malaga,EARLY_WATCH_MORE_DATA_REQUIRED,88.0,STAT_WATCH_ONLY,STAT_WATCH_ONLY,STAT_WATCH_ONLY,NO_PREMATCH,EARLY_WATCH_ONLY,Early-day data/probable XI support is not strong enough.,lineup_coverage=PROBABLE_LOW,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1494192,Vasteras SK FK,IFK Goteborg,EARLY_CANDIDATE_PRELOCK_REQUIRED,95.0,STAT_WATCH_ONLY,STAT_WATCH_ONLY,STAT_WATCH_ONLY,PRELOCK_REQUIRED,EARLY_PRELOCK_REQUIRED,Lineups are not due yet; early candidate may be planned but not locked.,lineup_coverage=NOT_DUE_YET,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392219,Racing Santander,Cadiz,EARLY_WATCH_MORE_DATA_REQUIRED,80.0,STAT_WATCH_ONLY,STAT_WATCH_ONLY,STAT_WATCH_ONLY,NO_PREMATCH,EARLY_WATCH_ONLY,Early-day data/probable XI support is not strong enough.,lineup_coverage=NOT_DUE_YET; injuries_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392221,Castellón,Eibar,EARLY_WATCH_MORE_DATA_REQUIRED,80.0,STAT_WATCH_ONLY,STAT_WATCH_ONLY,STAT_WATCH_ONLY,NO_PREMATCH,EARLY_WATCH_ONLY,Early-day data/probable XI support is not strong enough.,lineup_coverage=NOT_DUE_YET; injuries_coverage=NONE,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1494188,BK Hacken,Hammarby FF,EARLY_CANDIDATE_PRELOCK_REQUIRED,95.0,NO_BET_OR_WATCH,NO_BET_OR_WATCH,NO_BET_OR_WATCH,PRELOCK_REQUIRED,EARLY_PRELOCK_REQUIRED,Lineups are not due yet; early candidate may be planned but not locked.,lineup_coverage=NOT_DUE_YET,NO,NO
