target_date,generated_at,quality_issue_id,issue_type,severity,sample_count,evidence_key,affected_markets,remediation_action,next_engine,blocks_model_change,auto_fix,production_change,guardrail_status
2026-06-04,2026-06-04T12:26:14+01:00,NO_SIGNAL::NO_SIGNAL,NO_SIGNAL,P3,2,NO_SIGNAL,UNKNOWN,Populate improvement_signal or classify as monitor-only.,learning_ledger_enrichment,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,UNKNOWN_MARKET::UNKNOWN_MARKET,UNKNOWN_MARKET,P3,2,UNKNOWN_MARKET,UNKNOWN,Normalize missing market_primary before pattern mining.,learning_ledger_enrichment,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,UNKNOWN_RISK::UNKNOWN_RISK,UNKNOWN_RISK,P3,2,UNKNOWN_RISK,UNKNOWN,Populate accuracy_primary_risk before pattern mining.,learning_ledger_enrichment,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,UNRESOLVED_LEDGER_ROWS::RESULT_STATUS_UNRESOLVED,UNRESOLVED_LEDGER_ROWS,P3,2,RESULT_STATUS_UNRESOLVED,UNKNOWN,Run/verify post-result labeling until learning rows close.,post_result_labeling,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,DATA_QUALITY_BLOCKER::OVER_1_5::UNKNOWN_RISK,DATA_QUALITY_BLOCKER,P3,1,OVER_1_5::UNKNOWN_RISK,UNKNOWN,Resolve this evidence blocker before model/shadow promotion.,data_quality_review,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,DATA_QUALITY_BLOCKER::OVER_2_5::UNKNOWN_RISK,DATA_QUALITY_BLOCKER,P3,1,OVER_2_5::UNKNOWN_RISK,UNKNOWN,Resolve this evidence blocker before model/shadow promotion.,data_quality_review,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,DATA_QUALITY_BLOCKER::UNKNOWN_MARKET::UNKNOWN_RISK,DATA_QUALITY_BLOCKER,P3,1,UNKNOWN_MARKET::UNKNOWN_RISK,UNKNOWN,Resolve this evidence blocker before model/shadow promotion.,data_quality_review,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,DATA_QUALITY_BLOCKER::UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,DATA_QUALITY_BLOCKER,P3,1,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,UNKNOWN,Resolve this evidence blocker before model/shadow promotion.,data_quality_review,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,DATA_QUALITY_BLOCKER::UNRESOLVED::OVER_2_5::UNKNOWN_RISK::NO_SIGNAL,DATA_QUALITY_BLOCKER,P3,1,UNRESOLVED::OVER_2_5::UNKNOWN_RISK::NO_SIGNAL,UNKNOWN,Resolve this evidence blocker before model/shadow promotion.,data_quality_review,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,DATA_QUALITY_BLOCKER::UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,DATA_QUALITY_BLOCKER,P3,1,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,UNKNOWN,Resolve this evidence blocker before model/shadow promotion.,data_quality_review,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,DATA_QUALITY_BLOCKER::UNRESOLVED_RESULTS,DATA_QUALITY_BLOCKER,P3,1,UNRESOLVED_RESULTS,UNKNOWN,Resolve this evidence blocker before model/shadow promotion.,data_quality_review,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,DATA_QUALITY_PROPOSAL::OVER_1_5::UNKNOWN_RISK,DATA_QUALITY_PROPOSAL,P3,1,OVER_1_5::UNKNOWN_RISK,UNKNOWN,Clean UNKNOWN/UNRESOLVED/NO_SIGNAL evidence and rebuild learning outputs.,evidence_cleaner,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,DATA_QUALITY_PROPOSAL::OVER_2_5::UNKNOWN_RISK,DATA_QUALITY_PROPOSAL,P3,1,OVER_2_5::UNKNOWN_RISK,UNKNOWN,Clean UNKNOWN/UNRESOLVED/NO_SIGNAL evidence and rebuild learning outputs.,evidence_cleaner,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,DATA_QUALITY_PROPOSAL::UNKNOWN_MARKET::UNKNOWN_RISK,DATA_QUALITY_PROPOSAL,P3,1,UNKNOWN_MARKET::UNKNOWN_RISK,UNKNOWN,Clean UNKNOWN/UNRESOLVED/NO_SIGNAL evidence and rebuild learning outputs.,evidence_cleaner,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,UNRESOLVED_RESULTS::UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,UNRESOLVED_RESULTS,P3,1,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,UNKNOWN,Clean UNKNOWN/UNRESOLVED/NO_SIGNAL evidence and rebuild learning outputs.,evidence_cleaner,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,UNRESOLVED_RESULTS::UNRESOLVED::OVER_2_5::UNKNOWN_RISK::NO_SIGNAL,UNRESOLVED_RESULTS,P3,1,UNRESOLVED::OVER_2_5::UNKNOWN_RISK::NO_SIGNAL,UNKNOWN,Clean UNKNOWN/UNRESOLVED/NO_SIGNAL evidence and rebuild learning outputs.,evidence_cleaner,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,UNRESOLVED_RESULTS::UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,UNRESOLVED_RESULTS,P3,1,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,UNKNOWN,Clean UNKNOWN/UNRESOLVED/NO_SIGNAL evidence and rebuild learning outputs.,evidence_cleaner,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
2026-06-04,2026-06-04T12:26:14+01:00,UNRESOLVED_RESULTS::UNRESOLVED_RESULTS,UNRESOLVED_RESULTS,P3,1,UNRESOLVED_RESULTS,UNKNOWN,Clean UNKNOWN/UNRESOLVED/NO_SIGNAL evidence and rebuild learning outputs.,evidence_cleaner,REVIEW,NO,NO,DATA_QUALITY_REVIEW_ONLY_NO_AUTO_CHANGE
