target_date,generated_at,rank,fixture_id,home_team,away_team,base_decision,recheck_decision,primary_market,secondary_market,stake_band,lineup_status,minutes_to_kickoff,availability_status,gate_decision,forecast_confidence,translation_score,kill_switch,next_check,operator_note,source_guard,auto_apply,production_change
2026-05-27,2026-05-27T22:16:11+01:00,1,1544608,Crystal Palace,Rayo Vallecano,LIVE_ONLY,LIVE_ONLY_WAIT_TRIGGER,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,SYMBOLIC_ONLY,LINEUPS_NOT_CONFIRMED,46.25,AVAILABILITY_UNKNOWN_OR_CLEAN,SHADOW_RISK_REVIEW,MEDIUM,37,NONE,wait for live trigger,prematch serious stake blocked,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T22:16:11+01:00,2,1535325,Libertad Asuncion,UCV,LIVE_ONLY,LIVE_ONLY_WAIT_TRIGGER,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,SYMBOLIC_ONLY,WAIT_PRELOCK,226.25,AVAILABILITY_UNKNOWN_OR_CLEAN,WAIT_PRELOCK,MEDIUM,35,NONE,wait for live trigger,prematch serious stake blocked,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T22:16:11+01:00,3,1535225,Olimpia,A. Italiano,LIVE_ONLY,LIVE_ONLY_WAIT_TRIGGER,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,SYMBOLIC_ONLY,WAIT_PRELOCK,226.22,AVAILABILITY_UNKNOWN_OR_CLEAN,WAIT_PRELOCK,MEDIUM,17,NONE,wait for live trigger,prematch serious stake blocked,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T22:16:11+01:00,4,1535322,Independiente del Valle,Rosario Central,LIVE_ONLY,LIVE_ONLY_WAIT_TRIGGER,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,SYMBOLIC_ONLY,WAIT_PRELOCK,226.26,AVAILABILITY_UNKNOWN_OR_CLEAN,WAIT_PRELOCK,MEDIUM,12,NONE,wait for live trigger,prematch serious stake blocked,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T22:16:11+01:00,5,1535227,Racing Club,Independiente Petrolero,STAT_WATCH_ONLY,STAT_WATCH_ONLY,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_OR_SYMBOLIC,,,,,MEDIUM,45,NO_PORTFOLIO_CONTEXT,rerun full chain if promoted,stat signal lacks portfolio context,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T22:16:11+01:00,6,1535221,Caracas FC,Botafogo,STAT_WATCH_ONLY,STAT_WATCH_ONLY,OVER_1_5_SUPPORTED,BTTS_OR_OVER_1_5_REVIEW,NO_STAKE_OR_SYMBOLIC,,,,,MEDIUM,45,NO_PORTFOLIO_CONTEXT,rerun full chain if promoted,stat signal lacks portfolio context,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T22:16:11+01:00,7,1535233,Vasco DA Gama,Barracas Central,NO_BET_OR_WATCH,NO_BET_OR_WATCH,CARDS_OVER_3_5_REVIEW,CARDS_OVER_4_5_AGGRESSIVE,NO_STAKE_OR_SYMBOLIC,,,,,MEDIUM,-2,NEGATIVE_TRANSLATION_SCORE,watch only,weak watch state,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T22:16:11+01:00,8,1535219,Atletico-MG,Puerto Cabello,NO_BET_OR_WATCH,NO_BET_OR_WATCH,CARDS_OVER_3_5_REVIEW,CARDS_OVER_4_5_AGGRESSIVE,NO_STAKE_OR_SYMBOLIC,,,,,MEDIUM,-10,NEGATIVE_TRANSLATION_SCORE,watch only,weak watch state,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T22:16:11+01:00,9,1535222,Cienciano,Juventud,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,MEDIUM,-18,NEGATIVE_TRANSLATION_SCORE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T22:16:11+01:00,10,1542933,Cuniburo,Orense SC,NO_BET,CANCELLED_NO_BET,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,,,,,LOW,-42,LOW_FORECAST_CONFIDENCE,none,blocked by board or low confidence,DATED_INPUT_ONLY,NO,NO
