target_date,generated_at,route_rank,source_cleaner_rank,source_issue_type,severity,fixture_id,home_team,away_team,market_primary,cleaner_action,route_decision,route_reason,gate_status,earliest_safe_phase,recommended_command,auto_run,production_change,guardrail_status
2026-05-22,2026-05-22T14:34:35+01:00,1,1,PRELOCK_CONFIRMATION_REQUIRED,P2,1494177,Djurgardens IF,IF Brommapojkarna,OVER_2_5,PRELOCK_REBUILD,WAIT_FOR_PRELOCK_WINDOW,Fixture is still outside the configured 90-minute PRELOCK window.,TIME_GATE_CLOSED,prelock_window_start=2026-05-22T15:30:36.600000+00:00,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-22 --timezone Atlantic/Canary --mode prelock --window-minutes 90,NO,NO,ACTION_ROUTER_PLAN_ONLY_NO_AUTO_EXECUTION
2026-05-22,2026-05-22T14:34:35+01:00,2,2,PRELOCK_CONFIRMATION_REQUIRED,P2,1544652,Sudtirol,Bari,OVER_1_5,PRELOCK_REBUILD,WAIT_FOR_PRELOCK_WINDOW,Fixture is still outside the configured 90-minute PRELOCK window.,TIME_GATE_CLOSED,prelock_window_start=2026-05-22T16:30:37.200000+00:00,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-22 --timezone Atlantic/Canary --mode prelock --window-minutes 90,NO,NO,ACTION_ROUTER_PLAN_ONLY_NO_AUTO_EXECUTION
2026-05-22,2026-05-22T14:34:35+01:00,3,4,UNRESOLVED_LEDGER_ROWS,P2,,,,UNKNOWN,POST_RESULT_LABELING,WAIT_FOR_POST_RESULTS,Post-result labeling is only safe after matches are finished.,POST_RESULTS_REQUIRED,post,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-22 --timezone Atlantic/Canary --mode post,NO,NO,ACTION_ROUTER_PLAN_ONLY_NO_AUTO_EXECUTION
2026-05-22,2026-05-22T14:34:35+01:00,4,5,NO_SIGNAL,P3,,,,UNKNOWN,REBUILD_LEARNING,REBUILD_AFTER_POST,Learning rebuild should follow post-result labeling to avoid preserving unresolved rows.,DEPENDENCY_WAIT_POST,after_post_results,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-22 --timezone Atlantic/Canary,NO,NO,ACTION_ROUTER_PLAN_ONLY_NO_AUTO_EXECUTION
2026-05-22,2026-05-22T14:34:35+01:00,5,8,UNKNOWN_MARKET,P3,,,,UNKNOWN,REBUILD_LEARNING,REBUILD_AFTER_POST,Learning rebuild should follow post-result labeling to avoid preserving unresolved rows.,DEPENDENCY_WAIT_POST,after_post_results,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-22 --timezone Atlantic/Canary,NO,NO,ACTION_ROUTER_PLAN_ONLY_NO_AUTO_EXECUTION
2026-05-22,2026-05-22T14:34:35+01:00,6,9,UNKNOWN_RISK,P3,,,,UNKNOWN,REBUILD_LEARNING,REBUILD_AFTER_POST,Learning rebuild should follow post-result labeling to avoid preserving unresolved rows.,DEPENDENCY_WAIT_POST,after_post_results,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-22 --timezone Atlantic/Canary,NO,NO,ACTION_ROUTER_PLAN_ONLY_NO_AUTO_EXECUTION
2026-05-22,2026-05-22T14:34:35+01:00,7,10,UNKNOWN_RISK,P3,1494177,Djurgardens IF,IF Brommapojkarna,OVER_2_5,REBUILD_LEARNING,REBUILD_AFTER_POST,Learning rebuild should follow post-result labeling to avoid preserving unresolved rows.,DEPENDENCY_WAIT_POST,after_post_results,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-22 --timezone Atlantic/Canary,NO,NO,ACTION_ROUTER_PLAN_ONLY_NO_AUTO_EXECUTION
2026-05-22,2026-05-22T14:34:35+01:00,8,6,NO_SIGNAL,P3,1494177,Djurgardens IF,IF Brommapojkarna,OVER_2_5,REBUILD_LEARNING,REBUILD_AFTER_POST,Learning rebuild should follow post-result labeling to avoid preserving unresolved rows.,DEPENDENCY_WAIT_POST,after_post_results,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-22 --timezone Atlantic/Canary,NO,NO,ACTION_ROUTER_PLAN_ONLY_NO_AUTO_EXECUTION
2026-05-22,2026-05-22T14:34:35+01:00,9,11,UNKNOWN_RISK,P3,1544652,Sudtirol,Bari,OVER_1_5,REBUILD_LEARNING,REBUILD_AFTER_POST,Learning rebuild should follow post-result labeling to avoid preserving unresolved rows.,DEPENDENCY_WAIT_POST,after_post_results,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-22 --timezone Atlantic/Canary,NO,NO,ACTION_ROUTER_PLAN_ONLY_NO_AUTO_EXECUTION
2026-05-22,2026-05-22T14:34:35+01:00,10,7,NO_SIGNAL,P3,1544652,Sudtirol,Bari,OVER_1_5,REBUILD_LEARNING,REBUILD_AFTER_POST,Learning rebuild should follow post-result labeling to avoid preserving unresolved rows.,DEPENDENCY_WAIT_POST,after_post_results,.\.venv\Scripts\python.exe scripts\build_learning_ledger.py --date 2026-05-22 --timezone Atlantic/Canary,NO,NO,ACTION_ROUTER_PLAN_ONLY_NO_AUTO_EXECUTION
