shortlist_rank,shortlist_bucket,analysis_label,date,country,league,fixture_id,home_team,away_team,selection_score,vsigma_pre_score,confidence_band,likely_scoreline,market_primary,market_alt,edge_floor_band,base_execution_verdict,base_final_recommendation,execution_verdict,final_recommendation,production_governance_status,production_governance_rule_count,production_governance_premium_rule_count,production_governance_standard_rule_count,production_governance_generic_rule_count,production_governance_best_evidence_tier,production_governance_top_rule,production_governance_matched_rules,production_governance_note,execution_fragility_reason,execution_market_fit_status,execution_market_fit_note,execution_preferred_safer_market,primary_model_prob,primary_odds_used,primary_implied_prob,primary_edge,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,projected_home_goals,projected_away_goals,projected_total_goals,league_coverage_class,league_data_reliability_score,league_coverage_rich_flag,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_stats_reliability_multiplier,league_coverage_uncertainty_penalty,league_coverage_source_status,league_coverage_note,recent_stats_quality_flag,recent_stats_process_score,home_recent_stats_matches_used,away_recent_stats_matches_used,home_recent_stats_coverage_ratio,away_recent_stats_coverage_ratio,home_injuries_count,away_injuries_count,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_risk_score,away_absence_risk_score,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,availability_known_risk_score,availability_uncertainty_penalty,availability_attack_penalty,home_lineup_available_flag,away_lineup_available_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_score_nudge,vsigma_priority,market_family_hint,tie_state_label,tie_adjustment_note,reason_1,reason_2,reason_3,home_rank,away_rank,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_shots_for_pg,away_recent_shots_for_pg,home_recent_shots_against_pg,away_recent_shots_against_pg,home_recent_sot_for_pg,away_recent_sot_for_pg,home_recent_sot_against_pg,away_recent_sot_against_pg,home_recent_possession_pct,away_recent_possession_pct,home_recent_corners_for_pg,away_recent_corners_for_pg,home_recent_corners_against_pg,away_recent_corners_against_pg,home_recent_fouls_pg,away_recent_fouls_pg,home_recent_yellow_pg,away_recent_yellow_pg,home_recent_offsides_pg,away_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_blocked_shots_pg,score_fulltime_home,score_fulltime_away,goals_home,goals_away,status,resolved_home_goals,resolved_away_goals,match_finished_flag,primary_result,alt_result,primary_profit_units,alt_profit_units,actionable_flag,actionable_result,actionable_profit_units
1,TOP_CORE,TOP_CORE,2026-05-11,Portugal,Primeira Liga,1396528,Estrela,Famalicao,100.88,94.98,HIGH,1-2 / 1-3 / 2-2,OVER_1_5,AWAY_WIN,STRONG,TOP_CORE,BET,WATCH,WATCH,DOWNGRADED_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Base actionable recommendation did not match any production-ready promoted rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8549,1.3,0.7692307692307692,0.0856692307692308,0.6817,2.03,0.4926108374384237,0.1890891625615762,1.01,2.41,3.42,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.8,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.01 | visitante 2.41,Market edge primario: prob 0.855 | impl 0.769 | edge +0.086,Bias lado: -2.88 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=2.80 aSOT=5.40 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,15.0,5.0,1.0,0.5,0.5,2.0,1.25,1.5,1.625,1.0,0.625,1.0,0.125,0.375,0.5,0.625,0.75,0.625,0.625,0.5,11.2,11.2,12.4,7.4,2.8,5.4,3.6,2.6,42.8,48.8,3.4,5.6,5.8,4.4,13.2,14.2,2.8,3.6,1.6,0.4,2.8,2.0,0.0,0.0,0.0,0.0,FT,0.0,0.0,1,LOSS,LOSS,-1.0,-1.0,0,SKIPPED,
2,TOP_CORE,TOP_CORE,2026-05-11,Portugal,Primeira Liga,1396527,Benfica,SC Braga,100.0,94.1,HIGH,2-1 / 3-1 / 2-2,BTTS_YES,OVER_2_5,STRONG,TOP_CORE,BET,TOP_CORE,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,13,12,0,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.115531,model_edge_abs_num >= 0.115531 | primary_edge >= 0.115531 | model_edge_abs_num >= 0.131684 | model_edge_abs_num >= 0.136433 | primary_edge >= 0.131684 | primary_edge >= 0.136433 | model_edge_abs_num >= 0.167733 | primary_edge >= 0.167733 | model_edge_abs_num >= 0.176245 | primary_edge >= 0.176245 | model_edge_abs_num >= 0.164431 | primary_edge >= 0.164431 | model_edge_abs_num >= 0.184762 | primary_edge >= 0.184762 | model_edge_abs_num >= 0.169424 | primary_edge >= 0.169424 | model_edge_abs_num >= 0.128099 | model_edge_abs_num >= 0.129431 | model_edge_abs_num >= 0.138141 | primary_edge >= 0.128099 | primary_edge >= 0.129431 | primary_edge >= 0.138141 | model_edge_abs_num >= 0.178059 | primary_edge >= 0.178059 | model_edge_abs_num >= 0.146275,Actionable recommendation matched premium promoted-rule evidence.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7646,1.91,0.5235602094240838,0.2410397905759161,0.7954,1.68,0.5952380952380952,0.2001619047619047,2.42,1.83,4.25,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.8,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.42 | visitante 1.83,Market edge primario: prob 0.765 | impl 0.524 | edge +0.241,Bias lado: +1.30 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=5.40 aSOT=3.40 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,2.0,4.0,1.0,0.5,2.25,1.875,2.25,1.625,1.0,1.125,1.0,1.0,0.25,0.25,0.75,0.75,1.0,0.75,0.75,0.5,16.4,8.8,11.4,9.4,5.4,3.4,4.2,2.6,55.4,62.0,9.6,3.8,3.0,3.0,11.6,11.4,1.2,2.8,1.8,0.8,4.8,2.2,2.0,2.0,2.0,2.0,FT,2.0,2.0,1,WIN,WIN,0.91,0.68,1,WIN,0.91
3,CORE_SHORTLIST,CORE,2026-05-11,Portugal,Primeira Liga,1396530,Rio Ave,Sporting CP,98.6,92.7,HIGH,1-2 / 0-1 / 1-1,UNDER_3_5,BTTS_YES,STRONG,CORE_SHORTLIST,BET,WATCH,WATCH,APPROVED_BY_PREMIUM_PROMOTED_RULE,2,2,0,0,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.115531,model_edge_abs_num >= 0.115531 | primary_edge >= 0.115531,Actionable recommendation matched premium promoted-rule evidence.,UNDER_3_5_AVALANCHE_RISK,MARKET_FIT_BLOCKED,UNDER_3_5 blocked because projected favorite/total profile creates avalanche risk.,,0.6677,1.83,0.5464480874316939,0.121251912568306,0.5747,1.91,0.5235602094240838,0.0511397905759162,1.22,1.69,2.91,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.8,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.22 | visitante 1.69,Market edge primario: prob 0.668 | impl 0.546 | edge +0.121,Bias lado: -1.44 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=4.40 aSOT=6.00 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,12.0,3.0,0.0,1.0,1.75,1.25,1.25,1.25,1.0,0.875,0.75,0.625,0.375,0.375,0.5,0.5,0.75,0.5,0.5,0.375,13.0,14.4,12.8,13.0,4.4,6.0,4.4,3.8,50.4,60.4,5.8,4.4,5.2,5.2,10.0,10.4,2.2,1.6,1.6,2.5,4.6,3.0,1.0,4.0,1.0,4.0,FT,1.0,4.0,1,LOSS,WIN,-1.0,0.91,0,SKIPPED,
4,CORE_SHORTLIST,CORE,2026-05-11,Italy,Serie A,1378220,Napoli,Bologna,97.46,91.56,HIGH,2-1 / 1-0 / 2-0,HOME_WIN,HOME_DNB,STRONG,CORE_SHORTLIST,BET,CORE_SHORTLIST,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,13,13,0,0,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.115531,model_edge_abs_num >= 0.115531 | primary_edge >= 0.115531 | model_edge_abs_num >= 0.131684 | model_edge_abs_num >= 0.136433 | primary_edge >= 0.131684 | primary_edge >= 0.136433 | model_edge_abs_num >= 0.128099 | model_edge_abs_num >= 0.129431 | model_edge_abs_num >= 0.138141 | primary_edge >= 0.128099 | primary_edge >= 0.129431 | primary_edge >= 0.138141 | model_edge_abs_num >= 0.146275,Actionable recommendation matched premium promoted-rule evidence.,,SAFE_OK,Execution market translation passed hardening gates.,,0.776,1.61,0.6211180124223602,0.1548819875776398,0.776,,,,2.25,0.49,2.74,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.64,5.0,5.0,1.0,1.0,4.0,8.0,FULL,FULL,4.0,7.6,HIGH,HIGH,FULL,11.6,0.0,0.1,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,61.8,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.25 | visitante 0.49,Market edge primario: prob 0.776 | impl 0.621 | edge +0.155,Bias lado: +3.26 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=3.80 aSOT=2.80 | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=4.00 aRisk=7.60 | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,2.0,10.0,1.0,0.0,2.125,0.875,1.375,0.625,0.625,1.75,0.75,0.375,0.5,0.25,0.375,0.25,0.625,0.875,0.375,0.375,15.0,10.6,9.4,9.6,3.8,2.8,3.8,3.2,58.6,57.6,6.4,5.0,2.8,5.0,8.6,12.0,1.0,0.6,2.4,2.0,4.4,3.4,2.0,3.0,2.0,3.0,FT,2.0,3.0,1,LOSS,LOSS,-1.0,-1.0,1,LOSS,-1.0
5,CORE_SHORTLIST,CORE,2026-05-11,Portugal,Primeira Liga,1396533,Guimaraes,Casa Pia,96.41,90.51,HIGH,2-1 / 1-0 / 2-0,OVER_1_5,HOME_WIN,NEGATIVE,NO_BET,NO_BET,NO_BET,NO_BET,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7565,1.31,0.7633587786259541,-0.0068587786259541,0.6761,1.75,0.5714285714285714,0.1046714285714286,2.01,0.72,2.73,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.44,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.01 | visitante 0.72,Market edge primario: prob 0.756 | impl 0.763 | edge -0.007,Bias lado: +2.35 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=4.40 aSOT=2.80 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,8.0,16.0,0.0,1.0,1.25,0.375,1.375,0.375,1.625,1.5,0.75,0.375,0.375,0.25,0.375,0.375,0.875,0.5,0.5,0.375,12.2,8.6,10.2,9.0,4.4,2.8,5.0,3.6,53.0,39.2,4.0,5.8,4.4,5.2,11.8,16.8,2.0,4.0,1.6,2.0,2.4,2.0,0.0,1.0,0.0,1.0,FT,0.0,1.0,1,LOSS,LOSS,-1.0,-1.0,0,SKIPPED,
6,WATCHLIST,WATCH,2026-05-11,England,Championship,1543788,Millwall,Hull City,95.8,89.9,HIGH,2-1 / 1-0 / 2-0,OVER_2_5,UNDER_3_5,THIN,WATCH,WATCH,WATCH,WATCH,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Non-actionable recommendation did not match production-ready promoted rules.,,SAFE_OK,Execution market translation passed hardening gates.,,0.5327,1.91,0.5235602094240838,0.0091397905759161,0.6901,1.4,0.7142857142857143,-0.0241857142857142,1.8,1.01,2.81,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.8,5.0,5.0,1.0,1.0,8.0,10.0,FULL,FULL,7.6,8.8,HIGH,HIGH,FULL,16.4,0.0,0.1,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,76.8,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 1.80 | visitante 1.01,Market edge primario: prob 0.533 | impl 0.524 | edge +0.009,Bias lado: +1.55 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=4.80 aSOT=3.60 | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=7.60 aRisk=8.80 | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,3.0,6.0,1.0,0.5,1.875,1.0,1.375,1.0,0.625,1.125,0.75,0.75,0.5,0.25,0.5,0.75,0.75,0.75,0.375,0.5,16.6,11.0,7.6,14.0,4.8,3.6,2.0,4.0,55.4,45.4,7.6,4.4,4.8,6.4,8.8,9.2,1.8,1.8,3.0,1.8,5.8,2.8,0.0,2.0,0.0,2.0,FT,0.0,2.0,1,LOSS,WIN,-1.0,0.4,0,SKIPPED,
7,WATCHLIST,WATCH,2026-05-11,Spain,La Liga,1391165,Rayo Vallecano,Girona,92.03,86.13,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,HOME_WIN,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Base actionable recommendation did not match any production-ready promoted rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8286,1.32,0.7575757575757576,0.0710242424242424,0.5675,2.64,0.3787878787878788,0.1887121212121212,2.02,1.18,3.2,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.8,5.0,5.0,1.0,1.0,8.0,12.0,FULL,FULL,8.0,11.6,HIGH,HIGH,FULL,19.6,0.0,0.1,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,76.8,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.02 | visitante 1.18,Market edge primario: prob 0.829 | impl 0.758 | edge +0.071,Bias lado: +1.62 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=6.60 aSOT=2.80 | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=8.00 aRisk=11.60 | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,11.0,17.0,0.0,1.0,2.0,1.0,1.5,1.125,1.125,1.125,0.875,0.75,0.625,0.25,0.25,0.5,0.625,0.625,0.5,0.375,17.0,10.0,13.4,11.8,6.6,2.8,4.8,4.0,48.6,54.2,4.0,4.0,4.4,4.2,16.0,9.6,4.0,2.0,1.25,1.8,3.6,3.2,1.0,1.0,1.0,1.0,FT,1.0,1.0,1,WIN,LOSS,0.32,-1.0,0,SKIPPED,
8,WATCHLIST,WATCH,2026-05-11,Portugal,Primeira Liga,1396532,Tondela,Moreirense,91.18,85.28,HIGH,1-2 / 0-1 / 1-1,AWAY_WIN,OVER_1_5,STRONG,WATCH,BET,WATCH,WATCH,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,13,12,0,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.115531,model_edge_abs_num >= 0.115531 | primary_edge >= 0.115531 | model_edge_abs_num >= 0.131684 | model_edge_abs_num >= 0.136433 | primary_edge >= 0.131684 | primary_edge >= 0.136433 | model_edge_abs_num >= 0.167733 | primary_edge >= 0.167733 | model_edge_abs_num >= 0.176245 | primary_edge >= 0.176245 | model_edge_abs_num >= 0.164431 | primary_edge >= 0.164431 | model_edge_abs_num >= 0.184762 | primary_edge >= 0.184762 | model_edge_abs_num >= 0.169424 | primary_edge >= 0.169424 | model_edge_abs_num >= 0.128099 | model_edge_abs_num >= 0.129431 | model_edge_abs_num >= 0.138141 | primary_edge >= 0.128099 | primary_edge >= 0.129431 | primary_edge >= 0.138141 | model_edge_abs_num >= 0.178059 | primary_edge >= 0.178059 | model_edge_abs_num >= 0.146275,Actionable recommendation matched premium promoted-rule evidence.,AWAY_WIN_DRAW_RISK,MARKET_FIT_DOWNGRADED,"AWAY_WIN requires premium governance, core base verdict, usable odds, and strict model probability/edge strength.",OVER_1_5,0.5906,4.55,0.2197802197802197,0.3708197802197802,0.7512,1.33,0.7518796992481203,-0.0006796992481202,0.89,1.81,2.7,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.24,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.89 | visitante 1.81,Market edge primario: prob 0.591 | impl 0.220 | edge +0.371,Bias lado: -1.58 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=4.00 aSOT=3.20 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,17.0,7.0,1.0,0.0,0.75,1.0,0.625,0.875,1.75,1.625,0.375,0.625,0.25,0.125,0.25,0.5,0.625,0.625,0.375,0.375,11.0,9.4,14.6,12.0,4.0,3.2,5.6,5.2,48.4,45.6,4.6,2.4,6.4,7.2,13.8,14.0,3.8,2.4,1.0,0.8,2.0,3.0,2.0,0.0,2.0,0.0,FT,2.0,0.0,1,LOSS,WIN,-1.0,0.33,0,SKIPPED,
9,WATCHLIST,WATCH,2026-05-11,Portugal,Primeira Liga,1396529,GIL Vicente,Arouca,90.5,84.6,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Base actionable recommendation did not match any production-ready promoted rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.8138,1.28,0.78125,0.0325499999999999,0.5964,1.89,0.5291005291005292,0.0672994708994708,1.77,1.32,3.09,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.8,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,91.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 1.77 | visitante 1.32,Market edge primario: prob 0.814 | impl 0.781 | edge +0.033,Bias lado: +1.00 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=4.80 aSOT=3.20 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,6.0,11.0,0.0,0.0,1.25,1.25,1.375,1.125,1.125,1.25,0.625,0.75,0.25,0.25,0.5,0.5,0.625,0.5,0.625,0.5,13.4,11.0,11.4,10.4,4.8,3.2,3.0,3.0,54.2,49.8,5.8,4.0,4.2,4.8,11.4,13.4,2.6,3.8,1.2,1.4,3.0,2.6,1.0,3.0,1.0,3.0,FT,1.0,3.0,1,WIN,WIN,0.28,0.89,0,SKIPPED,
10,WATCHLIST,WATCH,2026-05-11,England,Premier League,1379327,Tottenham,Leeds,89.08,83.18,HIGH,1-2 / 1-3 / 2-2,OVER_2_5,OVER_1_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,13,13,0,0,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.115531,model_edge_abs_num >= 0.115531 | primary_edge >= 0.115531 | model_edge_abs_num >= 0.131684 | model_edge_abs_num >= 0.136433 | primary_edge >= 0.131684 | primary_edge >= 0.136433 | model_edge_abs_num >= 0.128099 | model_edge_abs_num >= 0.129431 | model_edge_abs_num >= 0.138141 | primary_edge >= 0.128099 | primary_edge >= 0.129431 | primary_edge >= 0.138141 | model_edge_abs_num >= 0.146275,Actionable recommendation matched premium promoted-rule evidence.,,SAFE_OK,Execution market translation passed hardening gates.,,0.6842,1.89,0.5291005291005292,0.1550994708994708,0.8671,1.28,0.78125,0.0858499999999999,1.47,2.06,3.53,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.8,5.0,5.0,1.0,1.0,16.0,8.0,FULL,FULL,16.0,7.2,HIGH,HIGH,FULL,23.2,0.0,0.1,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,76.8,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.47 | visitante 2.06,Market edge primario: prob 0.684 | impl 0.529 | edge +0.155,Bias lado: -0.92 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=4.60 aSOT=5.20 | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=16.00 aRisk=7.20 | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,17.0,16.0,1.0,0.5,1.375,1.625,1.375,1.5,1.875,0.875,0.75,0.625,0.125,0.375,0.625,0.5,0.75,0.625,0.625,0.625,11.8,14.0,9.4,12.2,4.6,5.2,3.0,4.6,52.6,47.2,7.2,3.8,4.0,7.0,13.6,11.8,3.2,2.4,2.5,0.2,2.8,3.6,1.0,1.0,1.0,1.0,FT,1.0,1.0,1,LOSS,WIN,-1.0,0.28,1,LOSS,-1.0
