target_date,generated_at,sequence_rank,phase_order,phase_name,source_issue_type,severity,fixture_id,market_primary,sequence_state,sequence_reason,recommended_command,can_run_now,auto_run,production_change,guardrail_status
2026-06-01,2026-06-01T20:31:59+01:00,1,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1392217,OVER_2_5,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-06-01""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-06-01,2026-06-01T20:31:59+01:00,2,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1392220,OVER_2_5,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-06-01""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-06-01,2026-06-01T20:31:59+01:00,3,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1492282,OVER_1_5,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-06-01""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-06-01,2026-06-01T20:31:59+01:00,4,1,PRELOCK_CHECK,PRELOCK_OPEN_ITEM,P2,1492289,OVER_1_5,WAIT_FOR_WINDOW_OR_OPERATOR,Prelock/lineup timing must be checked before any serious execution.,"gh workflow run vsigma_production.yml -f mode=prelock -f date=""2026-06-01""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-06-01,2026-06-01T20:31:59+01:00,5,2,POST_RESULTS,MISSING_RESULT_FILE,P2,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-06-01""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-06-01,2026-06-01T20:31:59+01:00,6,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-06-01""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-06-01,2026-06-01T20:31:59+01:00,7,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,1392226,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-06-01""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-06-01,2026-06-01T20:31:59+01:00,8,2,POST_RESULTS,OPEN_RESULT_STATUS,P2,1492282,OVER_1_5,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-06-01""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-06-01,2026-06-01T20:31:59+01:00,9,2,POST_RESULTS,NO_SIGNAL,P3,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-06-01""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
2026-06-01,2026-06-01T20:31:59+01:00,10,2,POST_RESULTS,UNKNOWN_FAMILY,P3,,UNKNOWN,WAIT_FOR_FIXTURES_FINISHED,Post results can only run safely after matches are finished.,"gh workflow run vsigma_production.yml -f mode=post -f date=""2026-06-01""",NO,NO,NO,EVIDENCE_CLOSURE_SEQUENCE_ONLY_NO_AUTO_RUN
