target_date,generated_at,ledger_key,fixture_id,home_team,away_team,primary_market,market_family,final_decision,decision_bucket,pick_outcome,quality_class,error_family,learning_action,translation_audit_status,translation_quality_label,translation_error_family,suggested_safer_family,suggested_odds_escalation_status,manual_review_required,translation_note,source_guard,auto_apply,production_change
2026-06-04,2026-06-04T21:00:12+01:00,2026-06-04|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,NO_MARKET,NO_MARKET,NO_BET,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NONE,NO_MODEL_CHANGE,TRANSLATION_NOT_REQUIRED_DIAGNOSTIC,DIAGNOSTIC_NO_MARKET_LEARNING,NONE,NO_MARKET,NOT_APPLICABLE,NO,Diagnostic/non-fixture row; market translation must not train the model.,MARKET_TRANSLATION_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:23+01:00,2026-06-05|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,NO_MARKET,NO_MARKET,NO_BET,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NONE,NO_MODEL_CHANGE,TRANSLATION_NOT_REQUIRED_DIAGNOSTIC,DIAGNOSTIC_NO_MARKET_LEARNING,NONE,NO_MARKET,NOT_APPLICABLE,NO,Diagnostic/non-fixture row; market translation must not train the model.,MARKET_TRANSLATION_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:12+01:00,2026-06-05|1548052|NO_CLEAR_STAT_MARKET,1548052,Castellón,Almeria,NO_CLEAR_STAT_MARKET,UNKNOWN_FAMILY,NO_BET,NO_BET,PENDING,PENDING_FINAL_ACTUALS,PENDING,WAIT_FOR_POSTMATCH_DATA,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,PENDING,MANUAL_FAMILY_REVIEW,NO_ESCALATION_PENDING,NO,Waiting for final actuals or causal review before judging market translation.,MARKET_TRANSLATION_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,2026-06-08|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,NO_MARKET,NO_MARKET,NO_BET,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NONE,NO_MODEL_CHANGE,TRANSLATION_NOT_REQUIRED_DIAGNOSTIC,DIAGNOSTIC_NO_MARKET_LEARNING,NONE,NO_MARKET,NOT_APPLICABLE,NO,Diagnostic/non-fixture row; market translation must not train the model.,MARKET_TRANSLATION_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T18:46:39+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,OVER_1_5_SUPPORTED,TOTAL_GOALS,LIVE_ONLY,LIVE_ONLY,PENDING,PENDING_FINAL_ACTUALS,PENDING,WAIT_FOR_POSTMATCH_DATA,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,PENDING,SAME_TOTAL_FAMILY_REVIEW_LINE_WIDTH,NO_ESCALATION_PENDING,NO,Waiting for final actuals or causal review before judging market translation.,MARKET_TRANSLATION_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T18:46:39+01:00,2026-06-10|1546281|NO_CLEAR_STAT_MARKET,1546281,Cape Town City,Magesi,NO_CLEAR_STAT_MARKET,UNKNOWN_FAMILY,NO_BET,NO_BET,NO_PICK,NO_BET_CAUSAL_REVIEW_REQUIRED,NO_BET_REVIEW,REVIEW_NO_BET_CORRECTNESS,NO_BET_TRANSLATION_REVIEW_REQUIRED,NO_BET_MARKET_OPPORTUNITY_REVIEW,NO_BET_CORRECTNESS_PENDING,REVIEW_IF_ANY_MARKET_SHOULD_HAVE_EXISTED,NOT_APPLICABLE,YES,Real fixture no-bet must be reviewed for correct protection vs excessive conservatism.,MARKET_TRANSLATION_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-14,2026-06-14T11:02:03+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,OVER_1_5_SUPPORTED,TOTAL_GOALS,NO_BET,NO_BET,PENDING,PENDING_FINAL_ACTUALS,PENDING,WAIT_FOR_POSTMATCH_DATA,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,PENDING,SAME_TOTAL_FAMILY_REVIEW_LINE_WIDTH,NO_ESCALATION_PENDING,NO,Waiting for final actuals or causal review before judging market translation.,MARKET_TRANSLATION_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,OVER_1_5_SUPPORTED,TOTAL_GOALS,NO_BET,NO_BET,PENDING,PENDING_FINAL_ACTUALS,PENDING,WAIT_FOR_POSTMATCH_DATA,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,PENDING,SAME_TOTAL_FAMILY_REVIEW_LINE_WIDTH,NO_ESCALATION_PENDING,NO,Waiting for final actuals or causal review before judging market translation.,MARKET_TRANSLATION_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T12:40:52+01:00,2026-06-15|1526851|NO_CLEAR_STAT_MARKET,1526851,Maringá,Maranhão,NO_CLEAR_STAT_MARKET,UNKNOWN_FAMILY,NO_BET,NO_BET,PENDING,PENDING_FINAL_ACTUALS,PENDING,WAIT_FOR_POSTMATCH_DATA,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,PENDING,MANUAL_FAMILY_REVIEW,NO_ESCALATION_PENDING,NO,Waiting for final actuals or causal review before judging market translation.,MARKET_TRANSLATION_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,2026-06-16|1547575|NO_CLEAR_STAT_MARKET,1547575,TransINVEST Vilnius,FK Trakai,NO_CLEAR_STAT_MARKET,UNKNOWN_FAMILY,NO_BET,NO_BET,PENDING,PENDING_FINAL_ACTUALS,PENDING,WAIT_FOR_POSTMATCH_DATA,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,PENDING,MANUAL_FAMILY_REVIEW,NO_ESCALATION_PENDING,NO,Waiting for final actuals or causal review before judging market translation.,MARKET_TRANSLATION_AUDIT_V1_NO_AUTO_APPLY,NO,NO
