target_date,generated_at,fixture_id,league,home_team,away_team,minutes_to_kickoff,league_coverage,recent_stats_coverage,lineup_coverage,injuries_coverage,standings_coverage,odds_coverage,context_coverage,forecast_coverage,coverage_score,missing_blocks,api_readiness_gate,execution_policy,operator_note,auto_apply,production_change
2026-05-29,2026-05-29T15:56:16+01:00,1545797,Serie B,Monza,Catanzaro,1135.2,FULL,FULL,NOT_DUE_YET,NONE,FULL,FULL,FULL,FULL,80.0,lineup_coverage=NOT_DUE_YET; injuries_coverage=NONE,EARLY_WATCH_MORE_DATA_REQUIRED,Early-day watch only; missing supporting data beyond lineups.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1494191,Allsvenskan,Orgryte IS,IF Elfsborg,1075.19,FULL,FULL,NOT_DUE_YET,FULL,FULL,FULL,FULL,FULL,95.0,lineup_coverage=NOT_DUE_YET,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1494679,Eliteserien,KFUM Oslo,Tromso,1075.15,FULL,FULL,NOT_DUE_YET,FULL,FULL,FULL,FULL,FULL,95.0,lineup_coverage=NOT_DUE_YET,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1494682,Eliteserien,Rosenborg,Bodo/Glimt,1075.14,FULL,FULL,NOT_DUE_YET,FULL,FULL,FULL,FULL,FULL,95.0,lineup_coverage=NOT_DUE_YET,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1494676,Eliteserien,Aalesund,Ham-Kam,1075.17,FULL,FULL,NOT_DUE_YET,FULL,FULL,FULL,FULL,FULL,95.0,lineup_coverage=NOT_DUE_YET,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1535314,CONMEBOL Libertadores,Boca Juniors,U. Catolica,85.22,FULL,FULL,NONE,NONE,FULL,FULL,FULL,FULL,65.0,lineup_coverage=NONE; injuries_coverage=NONE,WAIT_LINEUPS_OR_LIVE_ONLY,Lineups should be checked before prematch execution.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1494677,Eliteserien,Brann,Sarpsborg 08 FF,1075.16,FULL,FULL,NOT_DUE_YET,FULL,FULL,FULL,FULL,FULL,95.0,lineup_coverage=NOT_DUE_YET,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1535318,CONMEBOL Libertadores,Cruzeiro,Barcelona SC,85.21,FULL,FULL,NONE,NONE,FULL,FULL,FULL,FULL,65.0,lineup_coverage=NONE; injuries_coverage=NONE,WAIT_LINEUPS_OR_LIVE_ONLY,Lineups should be checked before prematch execution.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1494678,Eliteserien,Fredrikstad,Start,1075.16,FULL,FULL,NOT_DUE_YET,FULL,FULL,FULL,FULL,FULL,95.0,lineup_coverage=NOT_DUE_YET,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1494683,Eliteserien,Valerenga,Kristiansund BK,1075.14,FULL,FULL,NOT_DUE_YET,FULL,FULL,FULL,FULL,FULL,95.0,lineup_coverage=NOT_DUE_YET,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1545409,Ligue 1,Nice,Saint Etienne,1180.2,FULL,FULL,NOT_DUE_YET,FULL,PARTIAL,FULL,FULL,FULL,87.5,lineup_coverage=NOT_DUE_YET; standings_coverage=PARTIAL,EARLY_CANDIDATE_PRELOCK_REQUIRED,Early-day candidate allowed; final lock requires prelock lineup/availability recheck.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1535218,CONMEBOL Sudamericana,America de Cali,Macara,85.18,FULL,FULL,NONE,NONE,FULL,FULL,FULL,FULL,65.0,lineup_coverage=NONE; injuries_coverage=NONE,WAIT_LINEUPS_OR_LIVE_ONLY,Lineups should be checked before prematch execution.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1535232,CONMEBOL Sudamericana,Tigre,Alianza Atletico,85.18,FULL,FULL,NONE,NONE,FULL,FULL,FULL,FULL,65.0,lineup_coverage=NONE; injuries_coverage=NONE,WAIT_LINEUPS_OR_LIVE_ONLY,Lineups should be checked before prematch execution.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1522819,A Lyga,FK Trakai,Suduva Marijampole,-1,PARTIAL,NONE,NONE,NONE,NONE,NONE,FULL,FULL,15.0,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1522817,A Lyga,TransINVEST Vilnius,Hegelmann Litauen,-1,PARTIAL,NONE,NONE,NONE,NONE,NONE,FULL,FULL,15.0,league_coverage=PARTIAL; recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
2026-05-29,2026-05-29T15:56:16+01:00,1533660,Premier League,El Mokawloon,Future FC,-1,FULL,NONE,NONE,NONE,NONE,NONE,FULL,FULL,20.0,recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,LOW_COVERAGE_NO_BET,Missing core stats or market data.,source=matches_vsigma_scored_v3.csv; lineups are time-aware: NOT_DUE_YET does not hard-block early-day shortlist.,NO,NO
