target_date,generated_at,metric,rows_evaluated,hit_rate,avg_abs_error_mid,bias_direction,calibration_status,severity,recommended_adjustment,model_area,auto_apply_allowed,operator_note,source_guard,auto_apply,production_change
2026-05-25,2026-05-25T21:59:02+01:00,total_cards,4,0.750,3.00,UNDER_ESTIMATE,CALIBRATION_OK,LOW,Keep current calibration.,total_cards,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,total_cards,4,0.750,1.75,UNDER_ESTIMATE,CALIBRATION_OK,LOW,Keep current calibration.,total_cards,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_cards,6,0.833,1.50,OVER_ESTIMATE,CALIBRATION_OK,LOW,Keep current calibration.,total_cards,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,total_cards,5,0.800,1.60,UNDER_ESTIMATE,CALIBRATION_OK,LOW,Keep current calibration.,total_cards,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:59:02+01:00,total_corners,3,0.333,4.33,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,HIGH,Reduce corner projection: lower shot_corner_nudge cap and reduce corner range high by 1 for high-tempo profiles.,build_match_stat_forecasts.corner_model,NO,Model is overestimating corners.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,total_corners,6,0.667,2.50,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,LOW,Reduce corner projection: lower shot_corner_nudge cap and reduce corner range high by 1 for high-tempo profiles.,build_match_stat_forecasts.corner_model,NO,Model is overestimating corners.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_corners,8,0.625,2.62,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,LOW,Reduce corner projection: lower shot_corner_nudge cap and reduce corner range high by 1 for high-tempo profiles.,build_match_stat_forecasts.corner_model,NO,Model is overestimating corners.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,total_corners,6,0.500,2.83,UNDER_ESTIMATE,MODEL_UNDER_ESTIMATING,MEDIUM,Increase corner projection only for wide-pressure profiles with real corner sample support.,build_match_stat_forecasts.corner_model,NO,Model is underestimating corners.,DATED_INPUT_ONLY,NO,NO
2026-05-25,2026-05-25T21:59:02+01:00,total_fouls,3,1.000,3.00,BALANCED_OR_ON_RANGE,CALIBRATION_OK,LOW,Keep current calibration.,total_fouls,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-27,2026-05-27T18:47:44+01:00,total_fouls,6,0.667,4.17,UNDER_ESTIMATE,MODEL_UNDER_ESTIMATING,HIGH,Review metric-specific formula after more post-match samples.,build_match_stat_forecasts.total_fouls,NO,Mixed calibration signal.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_fouls,9,0.667,7.78,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,HIGH,Review metric-specific formula after more post-match samples.,build_match_stat_forecasts.total_fouls,NO,Mixed calibration signal.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,total_fouls,6,0.500,5.33,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,HIGH,Review metric-specific formula after more post-match samples.,build_match_stat_forecasts.total_fouls,NO,Mixed calibration signal.,DATED_INPUT_ONLY,NO,NO
